category,location_type,context,outcome_status,persistent_id,id,location_subtype,month,latitude,longitude,street_name,year
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",f48cd985db4a246ab76d85790246d0cef0ccb8ea7d6b42c555a92e7251f75419,131629063,,10,52.757807,-1.546849,On or near The Close,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",5075f79ab7503656711e0c60a911c5685cbe7383efdb5c9add2049e2b32df9e0,131629846,,10,52.757807,-1.546849,On or near The Close,2025
violent-crime,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",4d27d1f44fbbc3454943339c359b785ed48d8803086c187f088cbf9fbcf93ace,131629132,,10,52.757807,-1.546849,On or near The Close,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",c15464350f23601c18d5bdb8dd239d7f474b056892c82a4c98241496174b6cd1,131643119,,10,52.760274,-1.550157,On or near Occupation Lane,2025
other-theft,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",541d59b9abda56c032c5f16b83a1f8c34b7cefa39600df8ad0ceb463c36cae0f,131645452,,10,52.762339,-1.551974,On or near Main Street,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",cbe795fead676b980c53106c9e718de92ae1f9ecf45c436b551ae652ff29cafe,131622676,,10,52.871972,-1.308139,On or near Parking Area,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",02c197be24a81d6af90ac5c60f41f9912a003533dd9c157c5b3faf42ebf22e27,131641183,,10,52.838133,-1.275788,On or near Kirk Avenue,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",0de38c019ba515f1c2787ea6aa33634b4b2b56406cf826be2dea71f0df343a80,131637964,,10,52.838133,-1.275788,On or near Kirk Avenue,2025
violent-crime,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",0f5f18bedc9acef7e86d19e49cfea0d61e4a7addab1ec1c4c67fed1694ad3ea2,131626090,,10,52.838133,-1.275788,On or near Kirk Avenue,2025
public-order,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",4546bbfe946de072d0835ae4623c17ac94469ab34c26c6c745164852fad0a328,131882613,,10,52.471617,-0.88586,On or near Parking Area,2025
anti-social-behaviour,Force,,Unknown,,131648814,,10,52.477661,-0.898664,On or near Ashley Way,2025
vehicle-crime,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",26bb6a33db84cc023e01f2fa8a31eef30045c5aa28a14b61a5dd068351761124,131642238,,10,52.481017,-0.897918,On or near Fernfield Close,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",e902ebd17c1a90686bb421352473693cb5f80ffd1a81fca52e694449ae97486e,131628957,,10,52.472957,-0.899385,On or near Southey Close,2025
violent-crime,Force,,"{'category': 'Further investigation is not in the public interest', 'date': '2025-10'}",c207dd5fcae38d1bd30d06e7c9921729e18d518b3a1a9f0cbbeecacdee222eaa,131632396,,10,52.478755,-0.900212,On or near Woodbreach Drive,2025
other-theft,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",38c7e00656bbde4376f6adc7d3301d57b84f2783d56f8f4a7439b48ee49e35da,131631544,,10,52.411023,-1.164116,On or near School Lane,2025
public-order,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",5704ea0134ec763670143fb6d39863172bf78efe41daef232451b3a66c08691e,131635884,,10,52.408788,-1.168466,On or near Rugby Road,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",12904eafd44daf0e7241a182c481481f06b9b10c678b5c1b54f4e1e085d10e28,131630934,,10,52.408788,-1.168466,On or near Rugby Road,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",ac212e4a6ff142aff082cd76cddd35e7c6e96b88ba677be2afb123109f29b8cf,131643560,,10,52.412284,-1.160696,On or near Rectory Close,2025
violent-crime,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",0eda04784aea9046f3f12fce818d8e7b9a58a38866c78304ab7fc4dfb16a395d,131633232,,10,52.764477,-1.508381,On or near Heath Lane,2025
other-theft,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",73ead06863ffeb22c1d3b8d3b46fdad466c2588c13f6f2106a505288bae29e30,131641795,,10,52.787392,-1.455039,On or near Callan's Lane,2025
anti-social-behaviour,Force,,Unknown,,131647163,,10,52.858822,-1.342798,On or near Back Lane,2025
anti-social-behaviour,Force,,Unknown,,131646098,,10,52.841458,-1.284447,On or near Wood Drive,2025
burglary,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",ac308613a6345a05c14bbc3d0bc5d08ff1b392814600e94f8fcae9aba21d62da,131625708,,10,52.841458,-1.284447,On or near Wood Drive,2025
other-theft,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",fb98446ec040077593ec92373c3ee980b3d4bc3c028eaf0b207b6e099bae53bf,131633095,,10,52.840676,-1.28443,On or near Howard Drive,2025
vehicle-crime,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",9f7b4d4b46f25889a390ee68ddf225ab51af5d1a923bbf890b969aba9d726acb,131627008,,10,52.837101,-1.278996,On or near Borough Street,2025
vehicle-crime,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",7706a2626e1b40af5b769739e480cb85659771f9995398e3ca3a5ff3a05e3377,131632912,,10,52.840248,-1.27311,On or near Station Road,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",a5b11149b3d79d2a0c8d0f80595428ec14a847493deba9da995050255010cd77,131629371,,10,52.838958,-1.275358,On or near Moore Avenue,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",19c387cf165d12e3ee28d54f580c59c09d92e733329980c0a15c3b3aa7c4c16b,131770969,,10,52.838081,-1.274571,On or near Mill Lane,2025
public-order,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",758c3d16131916d5625a63d65f0b02c4ece4a8b95f610c61b918db12f6dd71c5,131625789,,10,52.700271,-0.453609,On or near Station Road,2025
burglary,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",c83175cf2aeb773ff7898c0f9b9f2a9fe754a478ffd2db39ca93a37f895bf517,131631924,,10,52.686434,-0.46259,On or near The Crescent,2025
burglary,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",5d7fee949eb59c09e6630aebd07febf0de623e909972e012642c12bbf69c1bfc,131632554,,10,52.685983,-0.461762,On or near Flint Close,2025
other-theft,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",55ef4f7b2651eb0c0da2a0000adb951785dd0e19dfdacae8fd0c8fd7ecc78cda,131631785,,10,52.532753,-0.723958,On or near Mill Lane,2025
other-theft,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",99d62164fb54729690239fbcc4b810b109d6b1ad3185903bbb9bac8f03105cfa,131638691,,10,52.532753,-0.723958,On or near Mill Lane,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",c02f22da30b90544b769f334b42901823cb963ac9b894197910fe4c6a2f8262f,131622883,,10,52.532753,-0.723958,On or near Mill Lane,2025
violent-crime,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",cd183e858f2d47d24d51339e69a011676f729b2f8f84a939ed8fd9d57c62f2ea,131625143,,10,52.532789,-0.72148,On or near Main Street,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",6764261099377332e8e539938266344c7582eb11e4bdcc4f85d00338670851e1,131637633,,10,52.4807,-0.901518,On or near Rockingham Road,2025
